X Y TOL_COUNTS TOL_BG APER_RAD TOL_COUNTS_ERR MAG MAG_ERR
472 2467 185472.35810810793 1119021.641891892 12 430.6650184402118 12.12930201587215 -0.002519359487170951
319 1714 44373.88397790049 986879.1160220995 12 210.65109536363795 13.682181391227163 -0.005150697166454373
574 1248 126005.3671875 1509988.6328125 12 354.9723470743883 12.54902738938326 -0.00305657612189331
2195 1424 33977.76923076925 787357.2307692308 12 184.33059765206983 13.972012844021293 -0.005886163305605799
3061 2139 45209.46484375 1496733.53515625 12 212.6251745296168 13.66192658448139 -0.005102876469826809
294 627 93920.40625 1502938.59375 12 306.4643637521335 12.868100093910453 -0.00354037900758191
3536 2200 18956.27734375 1557667.72265625 12 137.68179743070615 14.6056173647265 -0.007880489797833077
2882 869 155020.453125 1609409.546875 12 393.7263683384693 12.324027495004644 -0.002755720945434046
183 988 166590.1171875 1517526.8828125 12 408.15452611419124 12.2458769157601 -0.002658306917063183
1605 911 52696.0703125 1496270.9296875 12 229.55624651161204 13.495554425214824 -0.004726510458712852
3032 1856 43104.41333333333 1499562.5866666667 12 207.61602378750376 13.713695653589575 -0.005225993544267585
2161 1969 88333.80078125 1505586.19921875 12 297.21002806306853 12.934682706404864 -0.003650617063868924
558 2406 123109.6015625 1498715.3984375 12 350.8697786394548 12.574270185644952 -0.003092315343336878
1728 1323 158909.69140625 1532755.30859375 12 398.63478449108027 12.297124039298904 -0.002721789573343863
2791 322 52320.9921875 1495513.0078125 12 228.73782412950422 13.503310072189665 -0.004743421881051499
2114 1012 46523.03125 1495454.96875 12 215.69198234983145 13.630829990434 -0.00503032142493009
4478 1413 73360.33644859819 1506322.6635514018 12 270.8511333714485 13.136346713879625 -0.004005890566136261
3953 546 114020.875 1507923.125 12 337.6697721147097 12.657539076321878 -0.0032131984844394504
2010 1660 107876.5234375 1499705.4765625 12 328.44561716896146 12.717682645264189 -0.003303438813865633
1982 1976 53097.8203125 1494195.1796875 12 230.42964286849033 13.487308266302117 -0.004708595589063278
2420 969 41248.14453125 1499044.85546875 12 203.09639221623314 13.761488956449586 -0.005342290860808693
1956 1906 122843.85546875 1504019.14453125 12 350.49087786809804 12.57661640408009 -0.0030956583138472536
467 1424 1634.0 414106.0 12 40.422765862815474 17.26686986950901 -0.02684131025774467
2370 1879 102198.40234375 1506702.59765625 12 319.68484847385247 12.776389733563853 -0.0033939675439098706
2326 2373 116407.55859375 1555414.44140625 12 341.1855193201347 12.635047047733812 -0.0031800880710354633
1562 1963 104977.59765625 1515152.40234375 12 324.0024655095236 12.747258424999238 -0.003348739949536304
910 1105 116670.671875 1509186.328125 12 341.57088850632454 12.63259575285159 -0.003176500212722051
3090 185 39153.65234375 1494357.34765625 12 197.87281860768547 13.818069299292715 -0.005483320082235176
294 687 71505.35546875 1503800.64453125 12 267.4048531136823 13.164153575097808 -0.004057517982064193
4094 490 37193.453125 1496226.546875 12 192.85604249024712 13.873833747197882 -0.005625958025426501
1383 2335 108163.34765625 1506084.65234375 12 328.88196614629084 12.71479969944411 -0.003299055927917246
2698 1866 36215.74609375 1496665.25390625 12 190.30435122127398 13.902756408281531 -0.005701393546900197
1560 2090 109059.11328125 1503373.88671875 12 330.2409927329586 12.705845094301008 -0.00328547946462043
4070 1366 35339.9453125 1496544.0546875 12 187.98921594735162 13.929335317215884 -0.005771607666600758
1041 1215 41503.83203125 1499509.16796875 12 203.72489300831649 13.754779508027289 -0.005325809644458657
3177 563 43715.2734375 1498066.7265625 12 209.08197779220475 13.698417001925904 -0.0051893520974740474
1936 1073 79641.22265625 1561419.77734375 12 282.2077650530722 13.047155203204152 -0.0038446851375473455
